;random sample of disease genes;LCC of random disease genes;LCC size of random disease genes
781;[7036, 4131, 64220, 3875, 2201, 26523, 3858, 1604, 50615, 9373, 9524, 9562, 9928, 58494, 117581, 4313, 79001, 51067, 4644, 203547, 3674, 131118, 727857, 5308, 162417, 126410, 79644, 60681, 10654, 2705, 6469, 6301, 153241, 7403, 5506, 10479, 113246, 200734, 4081, 8566, 8473, 9711, 255101, 25, 3849, 51684, 241, 6638, 54936, 2232, 9200, 4893, 3990, 55294, 11141, 843, 116369, 5165, 84265, 65125, 11190, 23036, 6558, 1954, 8139, 9377, 122553, 56603, 55213, 91801, 9276, 4897, 2053, 55152, 1417, 54941, 3952, 10269, 2070, 84274, 4175, 5426, 23007, 8720, 81622, 200879, 56776, 11200, 81494];[9200, 203547, 9524];3
782;[4323, 8864, 2304, 389692, 5192, 8516, 9380, 55904, 10102, 3689, 2741, 9517, 80726, 57551, 6573, 5346, 10613, 1075, 9620, 8815, 6584, 127534, 987, 847, 1287, 4148, 8795, 114902, 23262, 151648, 6469, 2651, 85007, 9839, 633, 1300, 4035, 6513, 81620, 27429, 6341, 84162, 267, 109, 2053, 5054, 84146, 64376, 818, 51778, 93986, 56910, 219844, 7846, 388698, 2632, 84992, 8312, 55331, 343641, 57057, 84957, 2737, 10750, 80208, 10117, 57468, 7453, 10651, 10293, 1654, 4522, 6609, 139212, 23265, 57003, 51744, 5500, 595, 930, 55148, 7157, 7504, 1889, 8733, 10381, 581, 2799, 5932];[8864, 7157, 581];3
783;[9775, 970, 10566, 5078, 3035, 284058, 4591, 6900, 717, 10293, 3081, 4205, 401474, 7068, 4438, 2018, 11155, 5188, 9894, 808, 2244, 51126, 8091, 27125, 659, 4774, 1130, 19, 285600, 56603, 1585, 91942, 5130, 11136, 113189, 5395, 83959, 8878, 8239, 125336, 90121, 4688, 3371, 445, 55603, 374969, 6599, 1496, 375748, 83480, 726, 39, 5476, 2760, 567, 10159, 259266, 7518, 3758, 26038, 11093, 64065, 5860, 2736, 3029, 5627, 128866, 6533, 84706, 1641, 85015, 23209, 5873, 29894, 154288, 3835, 23233, 83999, 50651, 1717, 4626, 10715, 55610, 27315, 166929, 9129, 4694, 9394, 10388];[166929, 5476];2
784;[10913, 3845, 23279, 8473, 7136, 1917, 79048, 28958, 23209, 3560, 23314, 2657, 64581, 5663, 4297, 23499, 3784, 4653, 9739, 29127, 93233, 5375, 654, 2206, 5350, 25790, 55656, 7040, 137814, 2671, 440, 6714, 1436, 644096, 55107, 84131, 8722, 157657, 3954, 207, 80173, 5457, 8120, 1244, 51750, 6683, 8314, 5396, 30011, 246329, 9853, 112744, 5459, 26278, 2006, 7480, 5352, 7431, 2033, 6709, 1289, 162417, 4715, 26137, 4920, 8842, 132, 5950, 112817, 55599, 2590, 5244, 1759, 712, 7134, 2235, 161582, 695, 10043, 79644, 7532, 23102, 85016, 4157, 9289, 570, 27315, 3785, 2110];[7431, 7532, 207, 570, 4920, 157657, 6714, 1759];8
785;[79415, 5860, 5373, 26060, 55800, 10457, 10733, 9419, 4653, 1409, 1421, 11043, 51206, 51651, 10397, 4593, 10785, 1802, 9622, 84189, 23067, 282996, 84515, 10043, 5073, 23424, 23133, 1286, 84520, 583, 3067, 1950, 1910, 54658, 4726, 4990, 57716, 113220, 8913, 54499, 55779, 3053, 92345, 4363, 122961, 5782, 7343, 2902, 79791, 55636, 6532, 53335, 55027, 90624, 174, 3211, 27086, 58495, 1962, 5092, 4854, 55388, 1300, 9711, 28952, 8260, 25977, 7124, 55770, 6850, 1312, 57152, 4001, 201973, 5286, 3047, 83480, 23417, 23334, 2488, 7389, 3082, 221421, 7486, 81839, 808, 203286, 431705, 3257];[1962, 11043];2
786;[3604, 4204, 54931, 9531, 84909, 5921, 55151, 129880, 5770, 345643, 518, 5350, 2137, 28952, 2056, 10043, 5826, 3912, 399, 6714, 55650, 7045, 124997, 1108, 8604, 2182, 31, 2304, 4792, 7750, 145173, 57176, 55172, 22931, 56203, 83938, 51004, 4508, 3587, 3265, 29078, 51, 326625, 8363, 6833, 51319, 6773, 2746, 4221, 22845, 4363, 55023, 987, 55655, 1053, 1291, 2538, 2705, 4905, 4284, 283489, 7388, 60481, 2934, 23175, 4990, 5611, 2893, 283989, 27241, 2936, 9631, 5297, 6010, 5293, 23001, 1103, 124404, 2260, 51434, 79092, 5915, 10299, 27077, 5587, 538, 147183, 7466, 9289];[7750, 23175, 5770, 7466, 2538, 4204, 2260, 29078, 2137, 6714, 9531, 1053];12
787;[11023, 8701, 59341, 54880, 7737, 26999, 8892, 284382, 925, 1272, 221692, 8772, 8572, 4724, 4646, 11342, 7139, 55074, 7414, 3664, 154881, 10999, 84317, 10456, 79143, 91179, 65125, 127833, 10621, 10459, 23209, 7098, 10161, 27183, 1303, 144245, 4053, 2122, 4697, 5159, 23221, 6049, 3074, 3199, 6532, 4938, 8869, 7293, 1777, 9380, 89876, 23116, 8996, 9453, 4175, 1387, 93627, 57122, 9440, 283847, 3290, 387733, 9620, 28957, 79042, 2937, 191, 10747, 55636, 55294, 5700, 79083, 57492, 1643, 353116, 3858, 83700, 80776, 8312, 80222, 3077, 1285, 79753, 4884, 4784, 29954, 811, 23417, 124512];[811, 925];2
788;[28982, 2066, 140628, 6821, 1053, 2495, 6135, 6654, 1363, 54345, 6155, 10913, 23509, 54676, 4938, 162, 91949, 8241, 3767, 89781, 2622, 4613, 26191, 283847, 255101, 23384, 165918, 6658, 26249, 2050, 715, 7132, 5479, 55065, 5176, 5243, 594, 79669, 8452, 55603, 51567, 4292, 51763, 3028, 8270, 8085, 95681, 7401, 55670, 283652, 80704, 1675, 5792, 3431, 7468, 54675, 538, 4281, 171019, 3718, 3047, 2160, 5271, 4976, 4015, 222662, 56246, 3192, 4849, 7075, 343641, 27229, 51660, 4632, 1413, 58497, 2677, 23316, 4204, 3181, 201294, 5193, 8600, 79882, 699, 6141, 8242, 404672, 2972];[5176, 162, 4292];3
789;[25782, 1080, 55617, 1385, 388389, 2160, 2131, 10522, 2779, 2074, 26580, 645104, 2122, 144406, 9076, 8910, 80210, 4338, 221421, 2483, 23005, 8148, 5593, 10381, 23030, 5921, 3735, 353238, 6572, 6155, 1282, 64374, 51075, 6329, 5159, 23417, 5077, 23133, 2747, 287, 4884, 8642, 55215, 4047, 4352, 79868, 9631, 1777, 10395, 5081, 23636, 71, 89891, 2335, 25981, 57551, 51308, 80199, 10347, 4353, 54361, 2130, 27031, 2639, 84695, 92840, 2317, 10142, 6729, 4522, 10982, 6508, 6938, 79648, 51142, 492, 9750, 8287, 579, 5915, 5972, 1794, 5283, 6595, 8050, 54808, 55081, 81839, 6007];[79648, 71, 9631, 2317, 80210, 2483, 2130, 8050, 3735, 1080, 2335];11
790;[10939, 131669, 10381, 1777, 55906, 1528, 6443, 80153, 134701, 6324, 81839, 2657, 7124, 10560, 6096, 8621, 919, 5019, 51259, 23299, 55636, 92667, 203286, 10128, 445, 57468, 50964, 149371, 79770, 1185, 35, 23503, 2778, 10491, 8313, 189, 55151, 8820, 146227, 2058, 55249, 2998, 362, 4598, 55148, 80207, 29760, 6390, 51506, 3107, 128178, 9419, 645104, 117156, 7528, 80152, 51569, 132884, 7515, 10749, 9211, 5741, 126328, 57017, 1962, 8547, 268, 23116, 2332, 10747, 51102, 2984, 56616, 6635, 23165, 7068, 283652, 3782, 8905, 196, 10484, 10992, 4589, 8911, 57560, 4507, 3717, 5245, 1785];[56616, 1962, 6443, 51569, 7124, 57017];6
791;[57459, 4998, 8665, 731, 9688, 122622, 5966, 2819, 1828, 1140, 55135, 10939, 738, 4595, 6125, 59344, 3852, 2815, 50937, 6566, 9739, 2992, 3570, 22880, 5546, 1857, 2677, 476, 1576, 26999, 157657, 1723, 5213, 10616, 2742, 55187, 6599, 7922, 1513, 9247, 26047, 3158, 3798, 4968, 84146, 285025, 3480, 6651, 8991, 7431, 55229, 7474, 6477, 7038, 85465, 3762, 2760, 137392, 6045, 4914, 8270, 3490, 4633, 23443, 10750, 54507, 1460, 4094, 2009, 204219, 4597, 3717, 54862, 6659, 917, 501, 23247, 22845, 10133, 1535, 755, 283, 4128, 6338, 56922, 11055, 3569, 176, 23370];[85465, 1460, 6125];3
792;[5889, 201134, 10484, 9244, 145645, 29914, 30061, 506, 6650, 5063, 9922, 3242, 3299, 50846, 5645, 114327, 9152, 121391, 28981, 83872, 695, 1906, 26249, 3588, 23321, 84196, 92749, 353116, 24137, 114803, 6657, 6622, 3659, 401024, 3053, 4438, 735, 55627, 26038, 23287, 55149, 9479, 79577, 54499, 57020, 23096, 7750, 3850, 3736, 54487, 5015, 5105, 54517, 5795, 9987, 79816, 5161, 916, 2192, 1369, 7337, 128240, 124997, 9445, 473, 200879, 1536, 5551, 57479, 2312, 203, 23767, 81620, 7341, 84978, 83605, 2668, 11128, 147912, 57680, 9837, 64220, 716, 9711, 7920, 9639, 5290, 2250, 668];[6657, 7341, 7750];3
793;[1629, 92344, 26060, 55975, 1439, 55187, 7168, 284058, 4016, 24137, 125988, 3778, 23586, 7436, 29072, 23247, 8820, 375, 6687, 219854, 288, 114327, 283209, 7480, 4795, 54982, 4763, 22868, 112817, 178, 5265, 8869, 6785, 10299, 1420, 3199, 1280, 3798, 396, 6331, 169026, 10806, 339983, 5354, 84876, 6915, 80184, 10161, 26523, 30817, 708, 7048, 7175, 1716, 23431, 55644, 1326, 3914, 2893, 116442, 3507, 55857, 64682, 23534, 8625, 5350, 3299, 6622, 6329, 30813, 4758, 1278, 10388, 6748, 1029, 6524, 80736, 64377, 84947, 1317, 57647, 4689, 23203, 84062, 6005, 1384, 6297, 8367, 85007];[30817, 6785, 169026, 5350, 5354, 219854, 10299];7
794;[9871, 4123, 3848, 11023, 65080, 10128, 2475, 26278, 7490, 7054, 10750, 815, 4047, 54982, 23558, 8322, 3508, 1738, 7466, 2303, 23328, 3766, 2517, 695, 2055, 22880, 10165, 9997, 25, 9897, 9790, 867, 134353, 5317, 254065, 8738, 973, 65260, 29119, 51738, 51204, 63916, 5813, 23400, 6554, 284098, 208, 84957, 5824, 84520, 25942, 91754, 64419, 9180, 55628, 7299, 1725, 51, 54676, 4938, 283209, 129285, 5631, 1121, 56203, 2671, 9627, 23325, 50937, 84314, 729238, 23111, 146057, 80222, 7922, 3814, 2138, 2690, 5361, 7852, 10043, 26277, 23184, 54967, 2746, 6915, 29925, 374354, 23175];[54982, 2055, 23175, 7466, 1738, 973, 84314, 5631];8
795;[10043, 146754, 57538, 7867, 57222, 7025, 974, 2895, 1316, 55719, 9499, 199223, 4848, 7204, 5256, 8812, 4171, 4233, 9096, 81555, 254394, 57704, 346171, 23218, 7784, 95, 3908, 975, 146862, 4613, 701, 285600, 8443, 91452, 28952, 84667, 5147, 283459, 5591, 3514, 7436, 5971, 7317, 35, 254065, 51102, 55215, 9841, 284086, 6016, 1687, 9049, 51692, 54938, 57102, 285025, 1690, 54084, 1759, 57479, 1621, 23152, 654, 203190, 19, 2668, 64902, 54888, 1200, 150274, 57178, 1644, 5243, 54982, 90665, 291, 3284, 4835, 5644, 79738, 57082, 3845, 10641, 80746, 3376, 9581, 4009, 1303, 60558];[5147, 3845];2
796;[9401, 56479, 389549, 9885, 55733, 55209, 224, 1962, 79005, 124583, 6866, 9187, 6095, 2254, 6949, 9294, 9152, 5921, 1593, 51132, 8106, 55154, 1759, 6942, 136647, 2334, 100134444, 284382, 51259, 4860, 23299, 79796, 7784, 3257, 4358, 5048, 9652, 8893, 4582, 2099, 10026, 1108, 816, 6929, 2067, 492, 5592, 116369, 23137, 27148, 11014, 2706, 629, 197258, 2048, 55213, 779, 9197, 51284, 64221, 2516, 5426, 64218, 23086, 3188, 8626, 30009, 6491, 3199, 145645, 8642, 8402, 8803, 23031, 6049, 83990, 59336, 1589, 5591, 79001, 3172, 85358, 8462, 91039, 1909, 4128, 2720, 85015, 9529];[27148, 8462, 91039];3
797;[9785, 402, 1855, 29078, 23474, 91147, 1748, 9939, 86614, 54756, 7780, 2492, 3784, 26121, 7415, 6229, 51343, 54967, 4194, 4125, 3145, 6840, 54949, 55975, 1674, 81848, 84466, 388552, 1857, 7317, 8295, 29954, 201134, 5645, 6599, 4643, 4715, 84705, 207, 1788, 6487, 5078, 6697, 151516, 5230, 51807, 55521, 9197, 3651, 23064, 825, 57410, 5116, 112858, 10117, 6712, 4512, 27040, 79991, 359, 64834, 617, 85446, 1495, 7345, 3752, 1277, 10916, 55737, 5515, 4337, 11284, 91647, 1460, 55366, 2893, 6336, 342035, 81620, 3135, 6508, 5191, 3604, 8540, 56203, 57709, 6935, 375748, 79882];[51343, 207, 7345, 86614, 1495];5
798;[9487, 2109, 55869, 2892, 51506, 1615, 2186, 8542, 51412, 64377, 25788, 4795, 2672, 11146, 84617, 3559, 11253, 8322, 284, 246176, 113179, 23385, 10013, 4763, 1130, 84695, 440275, 3918, 10939, 345, 8621, 7137, 83861, 4056, 1777, 7056, 10586, 55644, 11020, 57010, 79912, 4649, 4868, 64919, 51520, 149461, 161582, 375307, 23530, 57003, 488, 8547, 341640, 4781, 7048, 10205, 27107, 3752, 10011, 7030, 10621, 26277, 57545, 10841, 55366, 3728, 3178, 9915, 9562, 10588, 3579, 286464, 1475, 2263, 58499, 1638, 7222, 5699, 5422, 221421, 2741, 55129, 56616, 9702, 54949, 79803, 8888, 283459, 1374];[7137, 1130];2
799;[5727, 200576, 51574, 2064, 6821, 112812, 7253, 29968, 57190, 4729, 64087, 9227, 3119, 501, 84515, 55704, 8567, 50937, 368, 84173, 894, 948, 3930, 4615, 134218, 132158, 57176, 8572, 23094, 54936, 50717, 6790, 4254, 6709, 56259, 23483, 283489, 55005, 84936, 6884, 4286, 8888, 6913, 10, 9971, 51341, 4091, 85015, 23530, 595, 3909, 5191, 6554, 5879, 6092, 51744, 50515, 10555, 90268, 2050, 58499, 6391, 57379, 2022, 3710, 729359, 55065, 4131, 9380, 6714, 8091, 7042, 51206, 23389, 7169, 6872, 1534, 84946, 4953, 11330, 3766, 64240, 153562, 1474, 117531, 3029, 22983, 84065, 51651];[2064, 10, 894, 6790];4
800;[63901, 4204, 51010, 84520, 286464, 2266, 100, 81788, 5965, 6327, 64170, 554, 84733, 6448, 8425, 6329, 5994, 28957, 3908, 79581, 7401, 6100, 146057, 286262, 387, 65082, 801, 51473, 1277, 54880, 217, 57724, 1646, 10058, 9722, 54872, 23236, 368, 56479, 286151, 6532, 5357, 3039, 59, 120, 9423, 2053, 51067, 3795, 27327, 142680, 5373, 242, 153201, 23483, 5318, 3703, 10216, 90268, 3420, 116150, 899, 83483, 920, 79955, 10059, 55975, 3190, 84984, 23022, 311, 51741, 144132, 10654, 148789, 2706, 7174, 26057, 54808, 7054, 5336, 26011, 570, 3640, 79753, 10815, 1213, 90678, 2178];[51741, 311];2
801;[11198, 1981, 55172, 51703, 84695, 4582, 63901, 581, 3313, 2719, 1717, 25981, 27315, 79803, 6529, 5521, 51308, 5317, 1798, 64072, 55975, 7132, 4092, 64221, 22873, 114928, 120, 5396, 537, 102, 56172, 55650, 57592, 4893, 6854, 11020, 3852, 9094, 9531, 23498, 26128, 6231, 4087, 117156, 3990, 10699, 9516, 285025, 2066, 84074, 63894, 229, 23165, 10940, 5429, 970, 11107, 64802, 9128, 55164, 145645, 6390, 4539, 9289, 23019, 6777, 774, 410, 5859, 54344, 55699, 164, 5818, 1140, 5147, 10329, 79755, 4615, 10347, 4284, 10978, 6678, 124512, 3981, 1188, 4093, 25802, 203, 63925];[5859, 4093, 4087];3
802;[3783, 3000, 5087, 29940, 29893, 51062, 89765, 7200, 587, 1496, 200879, 6045, 2760, 2189, 9180, 10621, 80308, 255101, 30061, 54820, 498, 2617, 54583, 55788, 4488, 4352, 81, 23065, 6418, 169026, 7358, 23325, 55812, 6659, 6777, 4535, 5133, 2147, 84733, 118813, 152926, 57609, 11043, 1991, 2717, 10026, 146862, 51726, 712, 80153, 6263, 6729, 59344, 2819, 492, 27130, 974, 3340, 9338, 50484, 6201, 3508, 9512, 53405, 8547, 6228, 2159, 344018, 6399, 1719, 5610, 8518, 3029, 23499, 1535, 8516, 6603, 6900, 2348, 6509, 311, 153, 4761, 56172, 10785, 1795, 9394, 55739, 7372];[169026, 118813];2
803;[200734, 3123, 55163, 5002, 8879, 1535, 6687, 1303, 1180, 65250, 5144, 5972, 55212, 85452, 7486, 10568, 7248, 348, 23729, 56259, 84987, 29089, 2660, 9096, 23322, 4722, 91452, 29967, 83990, 6611, 25959, 51692, 1406, 149461, 9731, 6683, 80776, 54888, 22866, 51099, 547, 55037, 10324, 4158, 5885, 254065, 5580, 5648, 2235, 57003, 7468, 3566, 3420, 64682, 167691, 9320, 59345, 1801, 7490, 10943, 23236, 5080, 57511, 10008, 10747, 3593, 7428, 8449, 2774, 2911, 23043, 1286, 2177, 2055, 5077, 6662, 1326, 1311, 208, 55005, 122402, 4624, 10472, 1000, 5199, 1536, 5873, 7517, 3242];[25959, 57511, 7248, 5080, 1406];5
804;[25790, 345611, 4538, 92579, 161742, 669, 7019, 845, 6868, 7681, 51095, 11136, 7051, 10847, 51399, 513, 3691, 89970, 54840, 4054, 6443, 91624, 51621, 6571, 84189, 72, 4000, 2555, 23203, 367, 5971, 29958, 6573, 51114, 8823, 8482, 57192, 2103, 123016, 79228, 63924, 7161, 2642, 2202, 219972, 56652, 815, 23424, 3313, 374879, 462, 4540, 57647, 8988, 7355, 1288, 10126, 124512, 83959, 4222, 57122, 125988, 5728, 92840, 777, 1773, 54453, 25871, 2780, 3188, 91942, 11093, 57592, 6901, 2979, 1523, 25953, 201973, 5307, 2677, 58508, 659, 84065, 122402, 22873, 401474, 7504, 79068, 6999];[4000, 7681, 84065, 92840, 161742, 6999, 2202, 4222];8
805;[84957, 80210, 8013, 1798, 26121, 63035, 10117, 4140, 84520, 55163, 54931, 23345, 7443, 64094, 220202, 26137, 255101, 57531, 18, 79574, 7703, 57817, 801, 10079, 2639, 91851, 1462, 55719, 8085, 3067, 2710, 9320, 5293, 6657, 3543, 51741, 1641, 3752, 26060, 10058, 79738, 57169, 255928, 84987, 6583, 6850, 51604, 23133, 27107, 65266, 118924, 6854, 65125, 348, 85440, 79882, 2161, 38, 57551, 4212, 2571, 23592, 9377, 4481, 1984, 64321, 54949, 6330, 116228, 57038, 190, 16, 3621, 9060, 6584, 83394, 3973, 8363, 2160, 23498, 10262, 3730, 83861, 51750, 1024, 55212, 51199, 1959, 7498];[23498, 2571];2
806;[8720, 1795, 10295, 81846, 5994, 79753, 9895, 291, 56776, 1830, 3060, 8567, 23334, 5648, 841, 5830, 1889, 2705, 30061, 673, 10021, 284111, 5244, 196, 8733, 23219, 6049, 915, 91137, 79152, 819, 1421, 55186, 9241, 774, 478, 346171, 4598, 55599, 125170, 54880, 11190, 10015, 116442, 713, 1536, 64802, 55081, 55250, 23431, 4547, 56160, 2146, 10095, 133396, 668, 23118, 10046, 57798, 6550, 283209, 8540, 1029, 6536, 1496, 80347, 26284, 5241, 529, 5813, 241, 56683, 1777, 1182, 203228, 55791, 51362, 54982, 9419, 1500, 26137, 6942, 2737, 23767, 5604, 2783, 6659, 2555, 2898];[673, 6659, 5604, 1029];4
807;[3490, 4047, 1131, 26235, 56683, 6261, 79796, 81555, 5193, 10095, 23780, 6097, 199713, 84936, 1349, 4659, 387119, 25942, 9509, 58497, 2625, 51604, 1137, 55814, 80781, 5833, 9533, 3067, 55012, 8516, 132884, 55366, 9562, 653361, 9419, 50943, 79718, 11155, 4481, 1185, 2257, 51098, 121391, 84529, 4439, 3588, 174, 6935, 5297, 28958, 56159, 275, 85007, 6891, 1586, 3426, 115399, 3418, 57522, 2512, 8091, 27068, 7707, 23204, 4617, 9895, 83706, 1585, 81839, 2200, 55779, 2100, 7051, 340419, 51684, 23562, 375790, 2642, 222662, 5885, 54, 1781, 83932, 10370, 57449, 9368, 2071, 6573, 25];[25, 4439];2
808;[3321, 7443, 7453, 51004, 6892, 10525, 29072, 51117, 54768, 22907, 2000, 4998, 6772, 212, 9662, 2780, 23767, 3300, 2027, 23347, 431705, 8573, 6235, 65057, 10935, 54766, 5265, 55366, 1956, 6575, 27315, 81570, 286464, 695, 57082, 2556, 5205, 721, 492, 339983, 256297, 7098, 26275, 10594, 6659, 644096, 10464, 57020, 525, 5723, 2038, 1063, 2155, 11020, 10804, 493753, 6016, 4677, 6878, 55034, 85465, 25821, 3077, 38, 3664, 5261, 8671, 1981, 9181, 51324, 9871, 4860, 8625, 8517, 3852, 80201, 1617, 23137, 9949, 64581, 2521, 90522, 3920, 63925, 1376, 8050, 1021, 1600, 116150];[1956, 6772, 8517];3
809;[2189, 255738, 3123, 7025, 9620, 1376, 220202, 23095, 3419, 4627, 5583, 6445, 10079, 57102, 2239, 120892, 4704, 54507, 9149, 7507, 1802, 4036, 4582, 713, 54902, 54967, 5293, 84634, 5189, 58508, 3516, 200162, 85365, 1351, 7421, 401, 2074, 6208, 5727, 7707, 1760, 57817, 60684, 2997, 10846, 1814, 1116, 6888, 6532, 1938, 60558, 268, 1718, 5010, 51434, 7482, 114798, 84172, 9095, 146845, 26040, 23111, 57609, 57169, 64072, 4342, 2783, 9775, 3852, 84936, 345643, 6455, 23321, 1027, 7827, 80821, 6909, 7078, 85465, 5965, 23118, 90416, 79029, 582, 84520, 9987, 51621, 80199, 3782];[54507, 2189, 23095];3
810;[91057, 3762, 867, 5447, 57592, 10654, 79577, 6575, 94005, 23325, 200879, 51010, 343637, 8820, 5873, 79853, 375748, 55969, 1565, 7456, 54840, 4982, 3376, 1339, 124512, 29078, 7143, 84876, 6444, 64116, 84888, 1203, 1832, 80270, 54765, 131377, 7431, 29110, 79797, 84197, 3000, 11236, 8452, 3704, 6559, 79879, 801, 5818, 51111, 7450, 7138, 1161, 55186, 8701, 27247, 7337, 5645, 53904, 2992, 10011, 27010, 23093, 152110, 11274, 2302, 506, 219844, 7156, 26960, 134353, 5019, 255101, 3636, 23556, 783, 176, 80173, 9051, 9129, 57817, 121391, 29914, 55764, 7737, 89884, 50617, 83999, 1183, 5604];[1832, 7138, 7431];3
811;[2806, 4627, 6652, 4643, 54539, 2771, 948, 2697, 10565, 137392, 2254, 930, 51645, 4697, 169026, 6691, 8284, 176, 8883, 6455, 6497, 3937, 1267, 4158, 51163, 5294, 10060, 5083, 80207, 6711, 1788, 3852, 5091, 10133, 1773, 160418, 9984, 1106, 5648, 678, 55814, 56729, 79188, 80776, 54941, 50937, 23474, 9531, 84919, 23137, 5241, 1892, 9474, 5728, 51109, 23259, 3887, 84946, 23592, 440275, 3554, 60561, 55229, 271, 185, 80173, 9997, 7852, 27241, 403, 56172, 91942, 5788, 6201, 10908, 5321, 497661, 5345, 10695, 84433, 8288, 63924, 8660, 84146, 164, 6340, 7415, 80155, 1841];[9474, 10133, 91942, 7415];4
812;[9863, 6326, 55521, 55750, 8777, 8468, 3030, 1130, 5422, 91574, 64902, 55621, 5293, 81689, 64834, 4151, 5903, 2304, 9382, 4153, 889, 1317, 645104, 6608, 1984, 440435, 867, 146862, 85301, 259266, 774, 22827, 23233, 4791, 9851, 3417, 91851, 11198, 3949, 51075, 22796, 7837, 9326, 89891, 2624, 29127, 93, 843, 6091, 3315, 83449, 63976, 84153, 80224, 6756, 8991, 6522, 54676, 201134, 7840, 2516, 5813, 124590, 166929, 24137, 3067, 10210, 10083, 55679, 115650, 6792, 5459, 4535, 2956, 7227, 131118, 55526, 7080, 9394, 5269, 3077, 5193, 55164, 3953, 8911, 25861, 64802, 773, 91179];[10083, 124590];2
813;[3757, 585, 84173, 4117, 23461, 5062, 5111, 92579, 6314, 4891, 6509, 10274, 10641, 3679, 3945, 116931, 1294, 3481, 9080, 831, 2584, 199223, 91, 939, 167691, 2290, 3290, 3921, 1861, 4598, 87, 6424, 1103, 4784, 1984, 2203, 285590, 6650, 657, 8131, 55240, 3593, 3655, 4654, 347733, 8260, 50814, 25977, 25814, 140732, 9652, 56910, 439, 2729, 9364, 4068, 2034, 6041, 6678, 10588, 85016, 5357, 23533, 54675, 201973, 92749, 9255, 8647, 778, 4486, 10457, 2258, 64834, 23600, 115948, 79576, 57572, 535, 8367, 6886, 207, 148022, 4437, 23155, 55621, 54361, 4204, 4306, 83700];[92579, 3921, 9652, 4437, 6678, 5111, 3679];7
814;[1896, 6102, 23155, 367, 3854, 1131, 5396, 90121, 7222, 581, 7293, 83452, 9568, 8540, 919, 1281, 5979, 23030, 23562, 6691, 147138, 6756, 55388, 4174, 57468, 6622, 5611, 210, 2902, 6557, 6659, 2065, 5966, 65266, 1785, 55012, 57020, 2187, 3208, 10651, 64377, 2157, 374879, 5308, 23499, 727, 79718, 8565, 25793, 51324, 54676, 7066, 5457, 23112, 29894, 6331, 1950, 1906, 1650, 5833, 89876, 1482, 286151, 8733, 23007, 6524, 84942, 5660, 8989, 1298, 6232, 79152, 6477, 85366, 128178, 4703, 51112, 286, 10588, 51067, 341640, 25839, 6774, 2779, 6314, 8328, 859, 3704, 23328];[6314, 6477, 6774, 5979, 83452];5
815;[6714, 374879, 7431, 4598, 26137, 54928, 1967, 84942, 4174, 8452, 1528, 84992, 3892, 80331, 3110, 7305, 79669, 26191, 1954, 4644, 4683, 1311, 9821, 7480, 196385, 8647, 1468, 8518, 799, 30000, 5934, 7042, 4193, 5195, 5782, 170825, 5449, 57609, 57592, 197258, 128486, 2954, 2239, 5274, 6857, 551, 8085, 122622, 84131, 5468, 197322, 26092, 8722, 389207, 54806, 2521, 6884, 8220, 2122, 7201, 6569, 153241, 7253, 23327, 55212, 4694, 80207, 4790, 29998, 51079, 22872, 7287, 9080, 775, 80776, 8291, 5080, 7092, 130951, 27229, 8379, 1981, 6533, 9853, 285600, 3643, 4720, 4358, 57410];[7431, 26191, 8379, 8220, 27229];5
816;[6857, 2335, 9487, 137392, 23020, 4714, 2160, 4352, 5915, 1837, 9394, 4841, 372, 7086, 3912, 55869, 617, 84628, 2626, 9211, 79868, 7466, 3454, 1193, 9129, 5833, 4151, 80173, 26284, 113246, 6714, 6878, 84667, 4929, 1576, 89876, 4306, 9071, 4700, 85016, 958, 6929, 8802, 1140, 6603, 4716, 3690, 2911, 54888, 23592, 440, 6628, 1642, 5582, 200734, 4254, 84317, 51111, 146057, 5406, 6117, 4128, 4582, 9829, 107, 23229, 57055, 27152, 159686, 27445, 23133, 3161, 8567, 633, 2261, 338328, 29123, 2972, 246329, 84277, 2625, 3849, 56006, 6097, 23503, 2707, 55107, 3155, 23461];[6628, 6117, 1193, 3690, 3849, 7086, 2335];7
817;[51112, 8729, 2972, 6442, 8651, 2048, 1576, 9227, 1009, 226, 3295, 171023, 403, 668, 50511, 326625, 26525, 10484, 5091, 64116, 654, 1417, 27429, 80185, 1639, 51095, 347733, 5498, 5624, 844, 1815, 11043, 6792, 554, 5165, 283209, 89869, 7259, 8050, 5188, 1911, 8988, 4318, 1795, 51763, 84662, 25802, 23483, 5144, 1534, 6554, 114327, 6697, 4539, 3621, 1278, 388552, 1496, 6304, 55027, 815, 55823, 1314, 80320, 6584, 5605, 23370, 8452, 83394, 200734, 776, 5583, 7480, 23155, 5105, 53335, 4160, 5859, 4174, 2628, 4703, 84733, 115650, 6736, 85478, 201294, 64207, 3284, 3119];[11043, 5859, 200734];3
